Q6;2;480;179068;468;66
Q24;2;13;4436;0;0
Q1;12;176;308047;82;1878
Q14;2;12;20202;12;23
Q30;1627;24960;120088991;35;162525
Q13;31;207;722507;64;517
Q12;2;42;28928;42;46
Q28;5390;57247;235603959;18;538834
Q7;2;12;35044;11;35
Q31;3384;48923;251682451;41;338258
Q29;265;5509;24210543;63;26358
Q9;2;14;37498;14;44
Q19;4;82;121442;71;166
Q20;4;9;21075;9;2
Q34;37;989;2360778;57;3529
Q22;1;4;3305;4;1
Q18;2;13;44604;12;35
Q8;5;14;42930;14;17
Q21;2;11;44604;10;35
Q32;603;10263;45084973;40;60146
Q4;2;5;7732;5;1
Q16;3;25;91235;18;138
Q2;4;9;26636;0;0
Q25;-1;-1;-1;-1;-1
Q23;-1;-1;-1;-1;-1
Q26;10575;44029;176895813;140;1083
Q5;2;23;135400;21;50
Q11;3;16;54500;16;5
Q10;57;198;676283;32;282
Q15;6;21;78055;20;44
Q27;5390;48876;235603959;16;538834
Q33;1649;21869;90049147;23;164777
